Added_Middle_Unnamed_Parameter,@param_pos parameter @target has been added to the calling stack at the middle position,
Renamed_Parameter,@param_pos parameter @target has been renamed to @new_value,No effect
Changed_Constant,The value of constant @target has been changed from @old_value to @new_value,
Added_Constant,The constant @target with value @new_value has been added,No effect
Removed_Constant,The constant @target with value @old_value has been removed,
Field_Type_Format,Type of field @target has been changed from @old_value to @new_value of different format,
Field_BaseType_Format,Base type of field @target has been changed from @old_value to @new_value of different format,
Return_Type_Format,Type of return value has been changed from @old_value to @new_value of different format,
Return_BaseType_Format,Base type of return value has been changed from @old_value to @new_value of different format,
Parameter_Became_Non_VaList,Type of @param_pos parameter has been changed from ... (va_list) to @new_value,
Parameter_Became_VaList,Type of @param_pos parameter @target has been changed from @old_value to ... (va_list),No effect
Added_Enum_Member,The member @target with value @new_value has been added,No effect
Symbol_Changed_Parameters,Parameters list has been changed,
Method_Became_Non_Const,Method became non-const,
Method_Became_Const,Method became const,No effect
Method_Became_Volatile,Method became volatile,No effect
Method_Became_Non_Volatile,Method became non-volatile,No effect
Parameter_Became_Restrict,Parameter @target became restric,No effect
Parameter_Became_Non_Restrict,Parameter @target became non-restrict,No effect
Field_Became_Volatile,Field @target became volatile,No effect
Field_Became_Non_Volatile,Field @target became non-volatile,No effect
Return_Value_Became_Volatile,Return value became volatile,No effect
Parameter_Became_Non_Volatile,Parameter @target became non-volatile,No effect
Global_Data_Value_Changed,The initial value of this global data has been changed from @old_value to @new_value,No effect
Field_Became_Mutable,Field @target became **mutable**,No effect
Field_Became_Non_Mutable,Field @target became **non-mutable**,
Removed_Const_Overload,The **const** overload of the method @target has been removed from this class,
Method_Became_Private,This method became **private**,
Method_Became_Protected,This method became **protected**,
Method_Became_Public,This method became **public**,No effect
Global_Data_Became_Private,This global data became **private**,
Global_Data_Became_Protected,This global data became **protected**,
Global_Data_Became_Public,This global data became **public**,No effect
Field_Became_Const,Field @target became **const**,
Field_Became_Non_Const,Field @target became **non-const**,No effect
Field_Added_Const,Added **const** qualifier to field @target,
Field_Removed_Const,Removed **const** qualifier from field @target,No effect
Field_Became_Private,Field @target became **private**,
Field_Became_Protected,Field @target became **protected**,
Virtual_Method_Became_Pure,Virtual method @target became **pure**,
Virtual_Method_Became_Non_Pure,Virtual method @target became **non-pure**,No effect
Type_Became_Opaque,This type became **opaque**,
